RadioRA 2 Integration Report

Device Room, Device Location, Device name, Model, ID, Component, Component Number, Name
, , , , , Led 91, 191
, , , , , Led 92, 192
, , , , , Led 93, 193
, , , , , Led 94, 194
, , , , , Led 95, 195
, , , , , Led 96, 196
, , , , , Led 97, 197
, , , , , Led 98, 198
, , , , , Led 99, 199
, , , , , Led 100, 200

LhsBdrm, Entry, LhsBdrm-EntryPico (1), PJ2-3BRL-GWH-L01, 3
, , , , , Button 1, 2, LhsBdrm 100%
, , , , , Button 2, 3, Toggle Auto
, , , , , Button 3, 4, LhsBdrm 0%
, , , , , Button 4, 5, LhsBdrm Up
, , , , , Button 5, 6, LhsBdrm Down

MotionSensors, Laundry-MotionSensor, Device 001, LRF2-OCR2B-P-WH, 8

Main, FrontDoor, Control-MainFoyerKpad (3), RRD-H6BRL-WH, 10
, , , , , Button 1, 1, FLASH
, , , , , Button 2, 2, Main Party
, , , , , Button 3, 3, Main Play
, , , , , Button 4, 4, Main Chill
, , , , , Button 5, 5, Main TV
, , , , , Button 6, 6, Foyer
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Primary, PrimaryEntry, Control-PrimaryEntryKpad, RRD-H6BRL-WH, 20
, , , , , Button 1, 1, Room Chill
, , , , , Button 2, 2, Room TV
, , , , , Button 3, 3, Room Off
, , , , , Button 4, 4, Bath TV
, , , , , Button 5, 5, Bath Off
, , , , , Button 6, 6, Lamps
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Main, FrontDoor, Control-MainEntryKpad (2), RRD-H6BRL-WH, 29
, , , , , Button 1, 1, AUTO
, , , , , Button 2, 2, AWAY
, , , , , Button 3, 3, Yard Chill
, , , , , Button 4, 4, Yard Night
, , , , , Button 5, 5, Yard Off
, , , , , Button 6, 6, Porch
, , , , , Button 18, 18, 
, , , , , Button 19, 19, 
, , , , , Led 1, 81
, , , , , Led 2, 82
, , , , , Led 3, 83
, , , , , Led 4, 84
, , , , , Led 5, 85
, , , , , Led 6, 86

Office, Desk, Office-DeskPico(W), PJ2-3BRL-GWH-L01, 30
, , , , , Button 1, 2, Office 100%
, , , , , Button 2, 3, Toggle Auto
, , , , , Button 3, 4, Office 0%
, , , , , Button 4, 5, Office Raise
, , , , , Button 5, 6, Office Lower

Main, CentralHall, Control-CentralKpad, RRD-W7B-WH, 32
, , , , , Button 1, 1, CLEAN
, , , , , Button 2, 2, DAY
, , , , , Button 3, 3, NIGHT
, , , , , Button 4, 4, PARTY
, , , , , Button 5, 5, CHILL
, , , , , Button 6, 6, TV
, , , , , Button 7, 7, ALL OFF
, , , , , Led 1, 81
